nombre,lat,lon
DSC_0076.JPG,18.813157938414083,-97.2931979722396
DSC_0076.JPG,18.812033926235543,-97.29258299542474
DSC_0077.JPG,18.813157938414083,-97.2931979722396
DSC_0077.JPG,18.812033926235543,-97.29258299542474
DSC_0151.JPG,18.812314884423547,-97.29249297164606
DSC_0151.JPG,18.813582897715627,-97.29331003648659
DSC_0151.JPG,18.813561942865743,-97.29328102698327
DSC_0151.JPG,18.81354794944648,-97.2932969645724
DSC_0151.JPG,18.81356194384878,-97.29329100763441
DSC_0151.JPG,18.813570920824834,-97.29334196832617
DSC_0151.JPG,18.813560933930805,-97.29331195634113
DSC_0151.JPG,18.813553896722052,-97.29331599304929
DSC_0151.JPG,18.813627910949485,-97.29341003407303
DSC_0151.JPG,18.813538894290375,-97.29319797038437
DSC_0151.JPG,18.812271887948466,-97.29263504075742
DSC_0151.JPG,18.812385875790213,-97.29261600672696
DSC_0152.JPG,18.812314884423547,-97.29249297164606
DSC_0152.JPG,18.813582897715627,-97.29331003648659
DSC_0152.JPG,18.813561942865743,-97.29328102698327
DSC_0152.JPG,18.81354794944648,-97.2932969645724
DSC_0152.JPG,18.81356194384878,-97.29329100763441
DSC_0152.JPG,18.813570920824834,-97.29334196832617
DSC_0152.JPG,18.813560933930805,-97.29331195634113
DSC_0152.JPG,18.813553896722052,-97.29331599304929
DSC_0152.JPG,18.813627910949485,-97.29341003407303
DSC_0152.JPG,18.813538894290375,-97.29319797038437
DSC_0152.JPG,18.812271887948466,-97.29263504075742
DSC_0152.JPG,18.812385875790213,-97.29261600672696
DSC_0149.JPG,18.812314884423547,-97.29249297164606
DSC_0149.JPG,18.813582897715627,-97.29331003648659
DSC_0149.JPG,18.813561942865743,-97.29328102698327
DSC_0149.JPG,18.81354794944648,-97.2932969645724
DSC_0149.JPG,18.81356194384878,-97.29329100763441
DSC_0149.JPG,18.813570920824834,-97.29334196832617
DSC_0149.JPG,18.813560933930805,-97.29331195634113
DSC_0149.JPG,18.813553896722052,-97.29331599304929
DSC_0149.JPG,18.813627910949485,-97.29341003407303
DSC_0149.JPG,18.813538894290375,-97.29319797038437
DSC_0149.JPG,18.812271887948466,-97.29263504075742
DSC_0149.JPG,18.812385875790213,-97.29261600672696
DSC_0150.JPG,18.812314884423547,-97.29249297164606
DSC_0150.JPG,18.813582897715627,-97.29331003648659
DSC_0150.JPG,18.813561942865743,-97.29328102698327
DSC_0150.JPG,18.81354794944648,-97.2932969645724
DSC_0150.JPG,18.81356194384878,-97.29329100763441
DSC_0150.JPG,18.813570920824834,-97.29334196832617
DSC_0150.JPG,18.813560933930805,-97.29331195634113
DSC_0150.JPG,18.813553896722052,-97.29331599304929
DSC_0150.JPG,18.813627910949485,-97.29341003407303
DSC_0150.JPG,18.813538894290375,-97.29319797038437
DSC_0150.JPG,18.812271887948466,-97.29263504075742
DSC_0150.JPG,18.812385875790213,-97.29261600672696
DSC_0157.JPG,18.812314884423547,-97.29249297164606
DSC_0157.JPG,18.813582897715627,-97.29331003648659
DSC_0157.JPG,18.813561942865743,-97.29328102698327
DSC_0157.JPG,18.81354794944648,-97.2932969645724
DSC_0157.JPG,18.81356194384878,-97.29329100763441
DSC_0157.JPG,18.813570920824834,-97.29334196832617
DSC_0157.JPG,18.813560933930805,-97.29331195634113
DSC_0157.JPG,18.813553896722052,-97.29331599304929
DSC_0157.JPG,18.813627910949485,-97.29341003407303
DSC_0157.JPG,18.813538894290375,-97.29319797038437
DSC_0157.JPG,18.812271887948466,-97.29263504075742
DSC_0157.JPG,18.812385875790213,-97.29261600672696
DSC_0158.JPG,18.812314884423547,-97.29249297164606
DSC_0158.JPG,18.813582897715627,-97.29331003648659
DSC_0158.JPG,18.813561942865743,-97.29328102698327
DSC_0158.JPG,18.81354794944648,-97.2932969645724
DSC_0158.JPG,18.81356194384878,-97.29329100763441
DSC_0158.JPG,18.813570920824834,-97.29334196832617
DSC_0158.JPG,18.813560933930805,-97.29331195634113
DSC_0158.JPG,18.813553896722052,-97.29331599304929
DSC_0158.JPG,18.813627910949485,-97.29341003407303
DSC_0158.JPG,18.813538894290375,-97.29319797038437
DSC_0158.JPG,18.812271887948466,-97.29263504075742
DSC_0158.JPG,18.812385875790213,-97.29261600672696
DSC_0159.JPG,18.812314884423547,-97.29249297164606
DSC_0159.JPG,18.813582897715627,-97.29331003648659
DSC_0159.JPG,18.813561942865743,-97.29328102698327
DSC_0159.JPG,18.81354794944648,-97.2932969645724
DSC_0159.JPG,18.81356194384878,-97.29329100763441
DSC_0159.JPG,18.813570920824834,-97.29334196832617
DSC_0159.JPG,18.813560933930805,-97.29331195634113
DSC_0159.JPG,18.813553896722052,-97.29331599304929
DSC_0159.JPG,18.813627910949485,-97.29341003407303
DSC_0159.JPG,18.813538894290375,-97.29319797038437
DSC_0159.JPG,18.812271887948466,-97.29263504075742
DSC_0159.JPG,18.812385875790213,-97.29261600672696
